ENTER_CS | peer=peer1 | client=client1 | request=client1-1 | timestamp=1781792813.0094047
EXIT_CS | peer=peer1 | client=client1 | request=client1-1 | timestamp=1781792814.0173252
COMMITTED | peer=peer1 | client=client1 | request=client1-1 | timestamp=1781792814.0173426
ENTER_CS | peer=peer3 | client=client3 | request=client3-1 | timestamp=1781792814.080354
EXIT_CS | peer=peer3 | client=client3 | request=client3-1 | timestamp=1781792814.4536936
COMMITTED | peer=peer3 | client=client3 | request=client3-1 | timestamp=1781792814.4537852
ENTER_CS | peer=peer2 | client=client2 | request=client2-1 | timestamp=1781792814.5289743
EXIT_CS | peer=peer2 | client=client2 | request=client2-1 | timestamp=1781792814.807484
COMMITTED | peer=peer2 | client=client2 | request=client2-1 | timestamp=1781792814.8075087
ENTER_CS | peer=peer5 | client=client5 | request=client5-1 | timestamp=1781792814.8634188
EXIT_CS | peer=peer5 | client=client5 | request=client5-1 | timestamp=1781792815.2358613
COMMITTED | peer=peer5 | client=client5 | request=client5-1 | timestamp=1781792815.235882
ENTER_CS | peer=peer4 | client=client4 | request=client4-1 | timestamp=1781792815.2714252
EXIT_CS | peer=peer4 | client=client4 | request=client4-1 | timestamp=1781792815.818992
COMMITTED | peer=peer4 | client=client4 | request=client4-1 | timestamp=1781792815.819018
ENTER_CS | peer=peer1 | client=client1 | request=client1-2 | timestamp=1781792815.8730705
EXIT_CS | peer=peer1 | client=client1 | request=client1-2 | timestamp=1781792816.0995889
COMMITTED | peer=peer1 | client=client1 | request=client1-2 | timestamp=1781792816.099613
ENTER_CS | peer=peer5 | client=client5 | request=client5-2 | timestamp=1781792816.27162
EXIT_CS | peer=peer5 | client=client5 | request=client5-2 | timestamp=1781792817.058429
COMMITTED | peer=peer5 | client=client5 | request=client5-2 | timestamp=1781792817.058455
ENTER_CS | peer=peer3 | client=client3 | request=client3-2 | timestamp=1781792817.5304055
EXIT_CS | peer=peer3 | client=client3 | request=client3-2 | timestamp=1781792817.7927074
COMMITTED | peer=peer3 | client=client3 | request=client3-2 | timestamp=1781792817.792731
ENTER_CS | peer=peer2 | client=client2 | request=client2-2 | timestamp=1781792818.8452358
EXIT_CS | peer=peer2 | client=client2 | request=client2-2 | timestamp=1781792819.4437864
COMMITTED | peer=peer2 | client=client2 | request=client2-2 | timestamp=1781792819.443813
ENTER_CS | peer=peer4 | client=client4 | request=client4-2 | timestamp=1781792819.4799623
EXIT_CS | peer=peer4 | client=client4 | request=client4-2 | timestamp=1781792819.719139
COMMITTED | peer=peer4 | client=client4 | request=client4-2 | timestamp=1781792819.7191987
ENTER_CS | peer=peer1 | client=client1 | request=client1-3 | timestamp=1781792819.7566206
EXIT_CS | peer=peer1 | client=client1 | request=client1-3 | timestamp=1781792820.1953223
COMMITTED | peer=peer1 | client=client1 | request=client1-3 | timestamp=1781792820.1953347
ENTER_CS | peer=peer5 | client=client5 | request=client5-3 | timestamp=1781792822.0875719
EXIT_CS | peer=peer5 | client=client5 | request=client5-3 | timestamp=1781792822.7887645
COMMITTED | peer=peer5 | client=client5 | request=client5-3 | timestamp=1781792822.7887926
ENTER_CS | peer=peer4 | client=client4 | request=client4-3 | timestamp=1781792822.8482656
EXIT_CS | peer=peer4 | client=client4 | request=client4-3 | timestamp=1781792823.2616613
COMMITTED | peer=peer4 | client=client4 | request=client4-3 | timestamp=1781792823.2616732
ENTER_CS | peer=peer3 | client=client3 | request=client3-3 | timestamp=1781792823.3250754
EXIT_CS | peer=peer3 | client=client3 | request=client3-3 | timestamp=1781792823.720963
COMMITTED | peer=peer3 | client=client3 | request=client3-3 | timestamp=1781792823.7209773
ENTER_CS | peer=peer1 | client=client1 | request=client1-4 | timestamp=1781792825.5894158
EXIT_CS | peer=peer1 | client=client1 | request=client1-4 | timestamp=1781792826.070139
COMMITTED | peer=peer1 | client=client1 | request=client1-4 | timestamp=1781792826.0701635
ENTER_CS | peer=peer2 | client=client2 | request=client2-3 | timestamp=1781792826.1432438
EXIT_CS | peer=peer2 | client=client2 | request=client2-3 | timestamp=1781792826.3828447
COMMITTED | peer=peer2 | client=client2 | request=client2-3 | timestamp=1781792826.3828702
ENTER_CS | peer=peer4 | client=client4 | request=client4-4 | timestamp=1781792826.6553183
EXIT_CS | peer=peer4 | client=client4 | request=client4-4 | timestamp=1781792827.1560757
COMMITTED | peer=peer4 | client=client4 | request=client4-4 | timestamp=1781792827.1560862
ENTER_CS | peer=peer3 | client=client3 | request=client3-4 | timestamp=1781792827.243749
